company, ticker
ARC Resources Ltd.,ARX.to
Advantage Oil & Gas Ltd.,AAV.to
Athabasca Oil Corporation,ATH.to
Baytex Energy Corp.,BTE.to
Birchcliff Energy Ltd.,BIR.to
Bonavista Energy Corporation,BNP.to
Bonterra Energy Corp.,BNE.to
Canadian Energy Services & Technology Corp.,CEU.to
Canadian Natural Resources Limited,CNQ.to
Canadian Oil Sands Limited,COS.to
Cenovus Energy Inc.,CVE.to
Crescent Point Energy Corp.,CPG.to
Crew Energy Inc.,CR.to
Encana Corporation,ECA.to
Enerflex Ltd.,EFX.to
Enerplus Corporation,ERF.to
Ensign Energy Services Inc.,ESI.to
Freehold Royalties Ltd.,FRU.to
Gran Tierra Energy Inc.,GTE.to
Husky Energy Inc.,HSE.to
Imperial Oil Limited,IMO.to
Kelt Exploration Ltd.,KEL.to
MEG Energy Corp.,MEG.to
Mullen Group Ltd.,MTL.to
NuVista Energy Ltd.,NVA.to
Paramount Resources Ltd. Class A Common Shares,POU.to
Parex Resources Inc.,PXT.to
Pason Systems Inc.,PSI.to
Pengrowth Energy Corporation,PGF.to
Penn West Petroleum Ltd.,PWT.to
Peyto Exploration & Development Corp.,PEY.to
PrairieSky Royalty Ltd.,PSK.to
Precision Drilling Corporation,PD.to
Raging River Exploration Inc.,RRX.to
Secure Energy Services Inc.,SES.to
Seven Generations Energy Ltd. class A common shares,VII.to
ShawCor Ltd.,SCL.to
Suncor Energy Inc.,SU.to
Surge Energy Inc.,SGY.to
TORC Oil & Gas Ltd.,TOG.to
Tourmaline Oil Corp.,TOU.to
Trinidad Drilling Ltd.,TDG.to
Vermilion Energy Inc.,VET.to
Whitecap Resources Inc.,WCP.to
